id,accident_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,casualty_home_area_type,accident_severity,day_of_week,time,road_type,speed_limit,junction_detail,junction_control,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,vehicle_type,vehicle_manoeuvre,vehicle_location_restricted_lane,junction_location,hit_object_in_carriageway,hit_object_off_carriageway,first_point_of_impact,journey_purpose_of_driver,sex_of_driver,age_band_of_driver,age_of_vehicle,driver_home_area_type
469607,2006460134906,2,1,1,2,5,3,9,1,3,6,15:45,1,30,1,4,0,0,1,1,1,0,0,1,9,5,0,3,0,0,1,-1,2,5,5,1
471363,2006470602302,1,1,2,1,3,3,9,1,3,1,17:28,2,30,3,3,0,0,1,1,1,0,0,1,9,9,9,5,10,10,4,-1,3,-1,-1,-1
478985,200650B51B789,1,1,1,2,6,3,9,-1,3,3,08:22,6,60,0,0,0,0,1,1,2,0,0,2,9,16,0,-1,0,0,1,-1,2,6,13,-1
481227,200650D35B758,1,1,1,1,-1,3,9,1,3,3,09:15,6,50,0,0,0,0,1,1,2,0,0,2,9,18,0,-1,0,0,3,-1,1,-1,-1,1
490206,2006520129712,2,2,1,2,10,3,9,-1,3,6,12:03,6,30,3,2,0,0,1,1,1,0,0,1,9,18,0,1,0,0,1,-1,2,10,0,-1
491441,2006530185187,2,1,1,2,4,3,9,3,3,1,18:00,6,60,3,4,0,0,6,2,2,0,0,2,9,18,0,8,0,0,4,-1,2,4,1,3
492217,2006530186714,1,1,3,1,3,3,0,1,3,4,16:33,2,30,0,0,0,0,1,2,2,0,0,1,9,4,0,0,0,0,4,1,1,8,5,-1
493531,2006530189169,2,1,1,1,7,3,5,1,3,7,10:26,1,70,1,4,0,0,1,1,1,0,0,2,5,7,0,3,0,0,1,-1,1,7,5,1
494869,200654CM45106,2,2,1,1,6,2,9,1,2,1,19:30,6,60,0,-1,0,0,1,1,1,0,0,2,9,18,0,0,0,0,1,-1,1,6,-1,1
497025,2006556B05347,1,1,3,1,1,3,0,1,3,3,16:01,6,30,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,0,1,2,2,6,4,1
497396,2006556E01595,2,2,1,1,10,3,9,3,1,4,19:05,6,60,0,-1,0,0,1,1,1,0,0,2,9,17,0,0,0,0,3,-1,1,10,-1,3
498921,2006556W01209,2,2,1,1,10,3,9,1,3,5,14:17,6,60,0,-1,0,0,1,1,1,0,0,2,9,17,0,0,0,0,3,-1,1,10,2,1
504024,2006610091206,1,2,3,2,11,3,0,-1,3,3,15:01,6,30,0,-1,0,0,1,1,1,0,0,1,9,16,0,0,0,0,4,2,1,10,9,1
507121,2006620155474,1,1,1,1,5,3,9,2,3,4,07:05,3,60,0,-1,0,0,1,1,2,0,0,2,9,18,0,0,0,0,0,-1,1,5,-1,2
